date;lat;lon;alt;speed
2025-10-14 16:28:22;7,8 S;95,2 W;419 km;27578 km/h
2025-10-14 16:29:08;5,5 S;93,5 W;419 km;27579 km/h
2025-10-14 16:29:53;3,2 S;91,9 W;418 km;27581 km/h
2025-10-14 16:30:38;0,9 S;90,3 W;418 km;27582 km/h
2025-10-14 16:31:23;1,3 N;88,6 W;418 km;27583 km/h
2025-10-14 16:32:08;3,6 N;87,0 W;417 km;27584 km/h
2025-10-14 16:32:53;5,9 N;85,4 W;417 km;27585 km/h
2025-10-14 16:33:38;8,2 N;83,7 W;417 km;27586 km/h
2025-10-14 16:34:23;10,5 N;82,1 W;417 km;27587 km/h
2025-10-14 16:35:08;12,7 N;80,4 W;417 km;27587 km/h
2025-10-14 16:35:53;15,0 N;78,6 W;417 km;27588 km/h
2025-10-14 16:36:38;17,2 N;76,9 W;417 km;27588 km/h
2025-10-14 16:37:23;19,4 N;75,1 W;417 km;27589 km/h
2025-10-14 16:38:09;21,6 N;73,2 W;418 km;27589 km/h
2025-10-14 16:38:54;23,8 N;71,3 W;418 km;27589 km/h
2025-10-14 16:39:39;25,9 N;69,3 W;418 km;27589 km/h
2025-10-14 16:40:24;28,0 N;67,2 W;419 km;27590 km/h
2025-10-14 16:41:09;30,1 N;65,0 W;419 km;27590 km/h
2025-10-14 16:41:54;32,1 N;62,7 W;419 km;27590 km/h
2025-10-14 16:42:39;34,1 N;60,3 W;420 km;27590 km/h
2025-10-14 16:43:24;36,0 N;57,8 W;420 km;27590 km/h
2025-10-14 16:44:09;37,8 N;55,2 W;420 km;27589 km/h
2025-10-14 16:44:54;39,6 N;52,4 W;421 km;27589 km/h
2025-10-14 16:45:39;41,3 N;49,5 W;421 km;27589 km/h
2025-10-14 16:46:25;42,9 N;46,4 W;421 km;27589 km/h
2025-10-14 16:47:10;44,4 N;43,2 W;422 km;27589 km/h
2025-10-14 16:47:55;45,8 N;39,7 W;422 km;27589 km/h
2025-10-14 16:48:40;47,1 N;36,1 W;422 km;27589 km/h
2025-10-14 16:49:25;48,2 N;32,3 W;423 km;27588 km/h
2025-10-14 16:50:10;49,2 N;28,4 W;423 km;27588 km/h
2025-10-14 16:50:55;50,1 N;24,3 W;423 km;27588 km/h
2025-10-14 16:51:40;50,8 N;20,0 W;423 km;27588 km/h
2025-10-14 16:52:25;51,3 N;15,6 W;423 km;27588 km/h
2025-10-14 16:53:10;51,6 N;11,2 W;423 km;27588 km/h
2025-10-14 16:53:55;51,7 N;6,7 W;424 km;27588 km/h
2025-10-14 16:54:41;51,7 N;2,2 W;424 km;27588 km/h
2025-10-14 16:55:26;51,5 N;2,2 E;423 km;27588 km/h
2025-10-14 16:56:11;51,0 N;6,6 E;423 km;27588 km/h
2025-10-14 16:56:56;50,5 N;10,9 E;423 km;27588 km/h
2025-10-14 16:57:41;49,7 N;15,1 E;423 km;27588 km/h
2025-10-14 16:58:26;48,8 N;19,1 E;423 km;27588 km/h
2025-10-14 16:59:11;47,7 N;23,0 E;423 km;27589 km/h
2025-10-14 16:59:56;46,5 N;26,7 E;422 km;27589 km/h
2025-10-14 17:00:41;45,2 N;30,2 E;422 km;27589 km/h
2025-10-14 17:01:26;43,7 N;33,6 E;422 km;27589 km/h
2025-10-14 17:02:11;42,2 N;36,8 E;421 km;27589 km/h
2025-10-14 17:02:57;40,5 N;39,8 E;421 km;27589 km/h
2025-10-14 17:03:42;38,8 N;42,6 E;421 km;27590 km/h
2025-10-14 17:04:27;37,0 N;45,4 E;420 km;27590 km/h
2025-10-14 17:05:12;35,1 N;47,9 E;420 km;27590 km/h
2025-10-14 17:05:57;33,2 N;50,4 E;419 km;27590 km/h
2025-10-14 17:06:42;31,2 N;52,7 E;419 km;27590 km/h
2025-10-14 17:07:27;29,1 N;54,9 E;419 km;27590 km/h
2025-10-14 17:08:12;27,1 N;57,1 E;418 km;27590 km/h
2025-10-14 17:08:57;24,9 N;59,1 E;418 km;27590 km/h
2025-10-14 17:09:42;22,8 N;61,1 E;418 km;27589 km/h
2025-10-14 17:10:27;20,6 N;63,0 E;418 km;27589 km/h
2025-10-14 17:11:13;18,4 N;64,8 E;417 km;27589 km/h
2025-10-14 17:11:58;16,2 N;66,6 E;417 km;27588 km/h
2025-10-14 17:12:43;13,9 N;68,4 E;417 km;27588 km/h
2025-10-14 17:13:28;11,7 N;70,1 E;417 km;27587 km/h
2025-10-14 17:14:13;9,4 N;71,8 E;417 km;27587 km/h
2025-10-14 17:14:58;7,1 N;73,4 E;417 km;27586 km/h
2025-10-14 17:15:43;4,8 N;75,1 E;417 km;27585 km/h
2025-10-14 17:16:28;2,5 N;76,7 E;417 km;27584 km/h
2025-10-14 17:17:13;0,2 N;78,3 E;418 km;27583 km/h
2025-10-14 17:17:58;2,0 S;79,9 E;418 km;27582 km/h
2025-10-14 17:18:43;4,3 S;81,6 E;418 km;27581 km/h
2025-10-14 17:19:29;6,6 S;83,2 E;419 km;27579 km/h
2025-10-14 17:20:14;8,8 S;84,9 E;419 km;27578 km/h
2025-10-14 17:20:59;11,1 S;86,5 E;420 km;27576 km/h
2025-10-14 17:21:44;13,4 S;88,2 E;420 km;27575 km/h
2025-10-14 17:22:29;15,6 S;90,0 E;421 km;27573 km/h
2025-10-14 17:23:14;17,9 S;91,7 E;421 km;27572 km/h
2025-10-14 17:23:59;20,1 S;93,6 E;422 km;27570 km/h
2025-10-14 17:24:44;22,2 S;95,5 E;423 km;27569 km/h
2025-10-14 17:25:29;24,4 S;97,4 E;424 km;27567 km/h
2025-10-14 17:26:14;26,5 S;99,4 E;424 km;27565 km/h
2025-10-14 17:27:00;28,6 S;101,5 E;425 km;27564 km/h
2025-10-14 17:27:45;30,7 S;103,7 E;426 km;27562 km/h
2025-10-14 17:28:30;32,7 S;106,0 E;427 km;27560 km/h
2025-10-14 17:29:15;34,6 S;108,5 E;427 km;27559 km/h
2025-10-14 17:30:00;36,5 S;111,0 E;428 km;27557 km/h
2025-10-14 17:30:45;38,3 S;113,7 E;429 km;27556 km/h
2025-10-14 17:31:30;40,1 S;116,5 E;430 km;27554 km/h
2025-10-14 17:32:15;41,7 S;119,4 E;430 km;27553 km/h
2025-10-14 17:33:00;43,3 S;122,5 E;431 km;27551 km/h
2025-10-14 17:33:45;44,8 S;125,8 E;431 km;27550 km/h
2025-10-14 17:34:30;46,1 S;129,3 E;432 km;27549 km/h
2025-10-14 17:35:16;47,4 S;132,9 E;432 km;27548 km/h
2025-10-14 17:36:01;48,5 S;136,8 E;433 km;27547 km/h
2025-10-14 17:36:46;49,4 S;140,7 E;433 km;27547 km/h
2025-10-14 17:37:31;50,3 S;144,9 E;434 km;27546 km/h
2025-10-14 17:38:16;50,9 S;149,1 E;434 km;27545 km/h
2025-10-14 17:39:01;51,4 S;153,5 E;434 km;27545 km/h
2025-10-14 17:39:46;51,6 S;158,0 E;434 km;27545 km/h
2025-10-14 17:40:31;51,7 S;162,5 E;434 km;27545 km/h
2025-10-14 17:41:16;51,7 S;166,9 E;434 km;27545 km/h
2025-10-14 17:42:01;51,4 S;171,4 E;434 km;27545 km/h
2025-10-14 17:42:46;50,9 S;175,8 E;434 km;27545 km/h
2025-10-14 17:43:32;50,3 S;179,8 W;434 km;27546 km/h
2025-10-14 17:44:17;49,5 S;175,7 W;433 km;27546 km/h
2025-10-14 17:45:02;48,6 S;171,7 W;433 km;27547 km/h
2025-10-14 17:45:47;47,5 S;167,9 W;433 km;27548 km/h
2025-10-14 17:46:32;46,2 S;164,2 W;432 km;27549 km/h
2025-10-14 17:47:17;44,9 S;160,8 W;431 km;27550 km/h
2025-10-14 17:48:02;43,4 S;157,4 W;431 km;27551 km/h
2025-10-14 17:48:47;41,8 S;154,3 W;430 km;27552 km/h
2025-10-14 17:49:32;40,2 S;151,3 W;430 km;27554 km/h
2025-10-14 17:50:17;38,4 S;148,5 W;429 km;27555 km/h
2025-10-14 17:51:02;36,6 S;145,8 W;428 km;27557 km/h
2025-10-14 17:51:48;34,7 S;143,3 W;427 km;27558 km/h
2025-10-14 17:52:33;32,8 S;140,9 W;427 km;27560 km/h
2025-10-14 17:53:18;30,8 S;138,6 W;426 km;27561 km/h
2025-10-14 17:54:03;28,8 S;136,4 W;425 km;27563 km/h
2025-10-14 17:54:48;26,7 S;134,3 W;424 km;27565 km/h
2025-10-14 17:55:33;24,6 S;132,2 W;424 km;27566 km/h
2025-10-14 17:56:18;22,4 S;130,3 W;423 km;27568 km/h
2025-10-14 17:57:03;20,2 S;128,4 W;422 km;27570 km/h
2025-10-14 17:57:48;18,0 S;126,6 W;422 km;27571 km/h
2025-10-14 17:58:33;15,8 S;124,8 W;421 km;27573 km/h
2025-10-14 17:59:19;13,5 S;123,0 W;420 km;27575 km/h
2025-10-14 18:00:04;11,3 S;121,3 W;420 km;27576 km/h
2025-10-14 18:00:49;9,0 S;119,7 W;419 km;27577 km/h
2025-10-14 18:01:34;6,7 S;118,0 W;419 km;27579 km/h
2025-10-14 18:02:19;4,4 S;116,4 W;418 km;27580 km/h
