date;lat;lon;alt;speed
2025-10-14 12:56:27;46,9 S;157,5 W;432 km;27548 km/h
2025-10-14 12:57:12;48,1 S;153,8 W;433 km;27548 km/h
2025-10-14 12:57:57;49,1 S;149,9 W;433 km;27547 km/h
2025-10-14 12:58:42;50,0 S;145,8 W;434 km;27546 km/h
2025-10-14 12:59:27;50,7 S;141,6 W;434 km;27546 km/h
2025-10-14 13:00:12;51,2 S;137,2 W;434 km;27545 km/h
2025-10-14 13:00:57;51,6 S;132,8 W;434 km;27545 km/h
2025-10-14 13:01:42;51,7 S;128,3 W;434 km;27545 km/h
2025-10-14 13:02:28;51,7 S;123,8 W;434 km;27545 km/h
2025-10-14 13:03:13;51,5 S;119,4 W;434 km;27545 km/h
2025-10-14 13:03:58;51,1 S;115,0 W;434 km;27545 km/h
2025-10-14 13:04:43;50,6 S;110,6 W;434 km;27546 km/h
2025-10-14 13:05:28;49,8 S;106,4 W;433 km;27546 km/h
2025-10-14 13:06:13;48,9 S;102,4 W;433 km;27547 km/h
2025-10-14 13:06:58;47,9 S;98,5 W;433 km;27548 km/h
2025-10-14 13:07:43;46,7 S;94,8 W;432 km;27549 km/h
2025-10-14 13:08:28;45,4 S;91,2 W;432 km;27550 km/h
2025-10-14 13:09:13;44,0 S;87,9 W;431 km;27551 km/h
2025-10-14 13:09:58;42,4 S;84,7 W;431 km;27552 km/h
2025-10-14 13:10:43;40,8 S;81,6 W;430 km;27553 km/h
2025-10-14 13:11:29;39,1 S;78,8 W;429 km;27555 km/h
2025-10-14 13:12:14;37,3 S;76,0 W;428 km;27556 km/h
2025-10-14 13:12:59;35,4 S;73,4 W;428 km;27558 km/h
2025-10-14 13:13:44;33,5 S;71,0 W;427 km;27559 km/h
2025-10-14 13:14:29;31,5 S;68,6 W;426 km;27561 km/h
2025-10-14 13:15:14;29,5 S;66,4 W;425 km;27562 km/h
2025-10-14 13:15:59;27,5 S;64,2 W;425 km;27564 km/h
2025-10-14 13:16:44;25,3 S;62,2 W;424 km;27566 km/h
2025-10-14 13:17:29;23,2 S;60,2 W;423 km;27567 km/h
2025-10-14 13:18:14;21,0 S;58,3 W;422 km;27569 km/h
2025-10-14 13:19:00;18,8 S;56,4 W;422 km;27571 km/h
2025-10-14 13:19:45;16,6 S;54,6 W;421 km;27572 km/h
2025-10-14 13:20:30;14,4 S;52,9 W;421 km;27574 km/h
2025-10-14 13:21:15;12,1 S;51,2 W;420 km;27575 km/h
2025-10-14 13:22:00;9,8 S;49,5 W;419 km;27577 km/h
2025-10-14 13:22:45;7,6 S;47,8 W;419 km;27578 km/h
2025-10-14 13:23:30;5,3 S;46,2 W;419 km;27580 km/h
2025-10-14 13:24:15;3,0 S;44,5 W;418 km;27581 km/h
2025-10-14 13:25:00;0,7 S;42,9 W;418 km;27582 km/h
2025-10-14 13:25:45;1,5 N;41,3 W;418 km;27583 km/h
2025-10-14 13:26:30;3,8 N;39,7 W;417 km;27584 km/h
2025-10-14 13:27:16;6,1 N;38,1 W;417 km;27585 km/h
2025-10-14 13:28:01;8,4 N;36,4 W;417 km;27586 km/h
2025-10-14 13:28:46;10,7 N;34,7 W;417 km;27587 km/h
2025-10-14 13:29:31;12,9 N;33,0 W;417 km;27587 km/h
2025-10-14 13:30:16;15,2 N;31,3 W;417 km;27588 km/h
2025-10-14 13:31:01;17,4 N;29,5 W;417 km;27588 km/h
2025-10-14 13:31:46;19,6 N;27,7 W;418 km;27589 km/h
2025-10-14 13:32:31;21,8 N;25,8 W;418 km;27589 km/h
2025-10-14 13:33:16;24,0 N;23,9 W;418 km;27589 km/h
2025-10-14 13:34:01;26,1 N;21,9 W;418 km;27589 km/h
2025-10-14 13:34:47;28,2 N;19,8 W;419 km;27590 km/h
2025-10-14 13:35:32;30,3 N;17,6 W;419 km;27590 km/h
2025-10-14 13:36:17;32,3 N;15,3 W;419 km;27590 km/h
2025-10-14 13:37:02;34,2 N;12,9 W;420 km;27590 km/h
2025-10-14 13:37:47;36,2 N;10,4 W;420 km;27590 km/h
2025-10-14 13:38:32;38,0 N;7,8 W;420 km;27589 km/h
2025-10-14 13:39:17;39,8 N;5,0 W;421 km;27589 km/h
2025-10-14 13:40:02;41,4 N;2,0 W;421 km;27589 km/h
2025-10-14 13:40:47;43,0 N;1,0 E;422 km;27589 km/h
2025-10-14 13:41:32;44,5 N;4,2 E;422 km;27589 km/h
2025-10-14 13:42:17;45,9 N;7,7 E;422 km;27589 km/h
2025-10-14 13:43:02;47,2 N;11,3 E;422 km;27589 km/h
2025-10-14 13:43:48;48,3 N;15,1 E;423 km;27588 km/h
2025-10-14 13:44:33;49,3 N;19,1 E;423 km;27588 km/h
2025-10-14 13:45:18;50,1 N;23,2 E;423 km;27588 km/h
2025-10-14 13:46:03;50,8 N;27,5 E;423 km;27588 km/h
2025-10-14 13:46:48;51,3 N;31,8 E;423 km;27588 km/h
2025-10-14 13:47:33;51,6 N;36,3 E;424 km;27588 km/h
2025-10-14 13:48:18;51,7 N;40,8 E;424 km;27588 km/h
2025-10-14 13:49:03;51,7 N;45,3 E;424 km;27588 km/h
2025-10-14 13:49:48;51,4 N;49,8 E;423 km;27588 km/h
2025-10-14 13:50:33;51,0 N;54,2 E;423 km;27588 km/h
2025-10-14 13:51:18;50,4 N;58,5 E;423 km;27588 km/h
2025-10-14 13:52:04;49,6 N;62,7 E;423 km;27588 km/h
2025-10-14 13:52:49;48,7 N;66,7 E;423 km;27588 km/h
2025-10-14 13:53:34;47,6 N;70,5 E;423 km;27589 km/h
2025-10-14 13:54:19;46,4 N;74,2 E;422 km;27589 km/h
2025-10-14 13:55:04;45,0 N;77,7 E;422 km;27589 km/h
2025-10-14 13:55:49;43,6 N;81,1 E;422 km;27589 km/h
2025-10-14 13:56:34;42,0 N;84,2 E;421 km;27589 km/h
2025-10-14 13:57:19;40,4 N;87,2 E;421 km;27589 km/h
2025-10-14 13:58:04;38,6 N;90,1 E;420 km;27590 km/h
2025-10-14 13:58:49;36,8 N;92,8 E;420 km;27590 km/h
2025-10-14 13:59:34;34,9 N;95,3 E;420 km;27590 km/h
2025-10-14 14:00:20;33,0 N;97,8 E;419 km;27590 km/h
2025-10-14 14:01:05;31,0 N;100,1 E;419 km;27590 km/h
2025-10-14 14:01:50;29,0 N;102,3 E;419 km;27590 km/h
2025-10-14 14:02:35;26,9 N;104,4 E;418 km;27590 km/h
2025-10-14 14:03:20;24,7 N;106,5 E;418 km;27590 km/h
2025-10-14 14:04:05;22,6 N;108,4 E;418 km;27589 km/h
2025-10-14 14:04:50;20,4 N;110,3 E;417 km;27589 km/h
2025-10-14 14:05:35;18,2 N;112,2 E;417 km;27589 km/h
2025-10-14 14:06:20;16,0 N;114,0 E;417 km;27588 km/h
2025-10-14 14:07:05;13,7 N;115,7 E;417 km;27588 km/h
2025-10-14 14:07:50;11,5 N;117,4 E;417 km;27587 km/h
2025-10-14 14:08:36;9,2 N;119,1 E;417 km;27586 km/h
2025-10-14 14:09:21;6,9 N;120,8 E;417 km;27586 km/h
2025-10-14 14:10:06;4,6 N;122,4 E;417 km;27585 km/h
2025-10-14 14:10:51;2,3 N;124,0 E;417 km;27584 km/h
2025-10-14 14:11:36;0,0 N;125,7 E;418 km;27583 km/h
2025-10-14 14:12:21;2,2 S;127,3 E;418 km;27582 km/h
2025-10-14 14:13:06;4,5 S;128,9 E;418 km;27580 km/h
2025-10-14 14:13:51;6,8 S;130,5 E;419 km;27579 km/h
2025-10-14 14:14:36;9,1 S;132,2 E;419 km;27578 km/h
2025-10-14 14:15:21;11,3 S;133,9 E;420 km;27576 km/h
2025-10-14 14:16:06;13,6 S;135,6 E;420 km;27575 km/h
2025-10-14 14:16:52;15,8 S;137,3 E;421 km;27573 km/h
2025-10-14 14:17:37;18,1 S;139,1 E;421 km;27572 km/h
2025-10-14 14:18:22;20,3 S;140,9 E;422 km;27570 km/h
2025-10-14 14:19:07;22,4 S;142,8 E;423 km;27568 km/h
2025-10-14 14:19:52;24,6 S;144,8 E;424 km;27567 km/h
2025-10-14 14:20:37;26,7 S;146,8 E;424 km;27565 km/h
2025-10-14 14:21:22;28,8 S;148,9 E;425 km;27563 km/h
2025-10-14 14:22:07;30,8 S;151,1 E;426 km;27562 km/h
2025-10-14 14:22:52;32,8 S;153,5 E;427 km;27560 km/h
2025-10-14 14:23:37;34,8 S;155,9 E;427 km;27558 km/h
2025-10-14 14:24:22;36,7 S;158,4 E;428 km;27557 km/h
2025-10-14 14:25:08;38,5 S;161,1 E;429 km;27555 km/h
2025-10-14 14:25:53;40,2 S;163,9 E;430 km;27554 km/h
2025-10-14 14:26:38;41,9 S;166,9 E;430 km;27553 km/h
2025-10-14 14:27:23;43,4 S;170,0 E;431 km;27551 km/h
2025-10-14 14:28:08;44,9 S;173,3 E;431 km;27550 km/h
2025-10-14 14:28:53;46,3 S;176,8 E;432 km;27549 km/h
2025-10-14 14:29:38;47,5 S;179,4 W;433 km;27548 km/h
2025-10-14 14:30:23;48,6 S;175,6 W;433 km;27547 km/h
2025-10-14 14:31:08;49,5 S;171,6 W;433 km;27546 km/h
2025-10-14 14:31:53;50,3 S;167,5 W;434 km;27546 km/h
2025-10-14 14:32:38;50,9 S;163,2 W;434 km;27545 km/h
2025-10-14 14:33:24;51,4 S;158,8 W;434 km;27545 km/h
2025-10-14 14:34:09;51,7 S;154,4 W;434 km;27545 km/h
2025-10-14 14:34:54;51,7 S;149,9 W;434 km;27545 km/h
2025-10-14 14:35:39;51,6 S;145,4 W;434 km;27545 km/h
2025-10-14 14:36:24;51,3 S;140,9 W;434 km;27545 km/h
2025-10-14 14:37:09;50,9 S;136,6 W;434 km;27545 km/h
2025-10-14 14:37:54;50,2 S;132,3 W;434 km;27546 km/h
2025-10-14 14:38:39;49,4 S;128,2 W;433 km;27546 km/h
2025-10-14 14:39:24;48,5 S;124,2 W;433 km;27547 km/h
2025-10-14 14:40:09;47,4 S;120,4 W;432 km;27548 km/h
2025-10-14 14:40:54;46,1 S;116,7 W;432 km;27549 km/h
2025-10-14 14:41:40;44,8 S;113,3 W;431 km;27550 km/h
2025-10-14 14:42:25;43,3 S;110,0 W;431 km;27551 km/h
2025-10-14 14:43:10;41,7 S;106,9 W;430 km;27553 km/h
2025-10-14 14:43:55;40,0 S;103,9 W;430 km;27554 km/h
2025-10-14 14:44:40;38,3 S;101,1 W;429 km;27555 km/h
2025-10-14 14:45:25;36,5 S;98,4 W;428 km;27557 km/h
2025-10-14 14:46:10;34,6 S;95,9 W;427 km;27558 km/h
2025-10-14 14:46:55;32,6 S;93,5 W;427 km;27560 km/h
2025-10-14 14:47:40;30,6 S;91,2 W;426 km;27562 km/h
2025-10-14 14:48:25;28,6 S;89,0 W;425 km;27563 km/h
2025-10-14 14:49:10;26,5 S;86,9 W;424 km;27565 km/h
2025-10-14 14:49:55;24,4 S;84,9 W;424 km;27567 km/h
2025-10-14 14:50:41;22,2 S;82,9 W;423 km;27568 km/h
2025-10-14 14:51:26;20,0 S;81,0 W;422 km;27570 km/h
2025-10-14 14:52:11;17,8 S;79,2 W;422 km;27571 km/h
2025-10-14 14:52:56;15,6 S;77,4 W;421 km;27573 km/h
2025-10-14 14:53:41;13,3 S;75,7 W;420 km;27575 km/h
2025-10-14 14:54:26;11,1 S;74,0 W;420 km;27576 km/h
2025-10-14 14:55:11;8,8 S;72,3 W;419 km;27578 km/h
2025-10-14 14:55:56;6,5 S;70,7 W;419 km;27579 km/h
2025-10-14 14:56:41;4,2 S;69,0 W;418 km;27580 km/h
2025-10-14 14:57:26;1,9 S;67,4 W;418 km;27581 km/h
2025-10-14 14:58:11;0,3 N;65,8 W;418 km;27582 km/h
2025-10-14 14:58:57;2,6 N;64,2 W;417 km;27584 km/h
2025-10-14 14:59:42;4,8 N;62,5 W;417 km;27585 km/h
2025-10-14 15:00:27;7,1 N;60,9 W;417 km;27585 km/h
2025-10-14 15:01:12;9,4 N;59,2 W;417 km;27586 km/h
2025-10-14 15:01:57;11,7 N;57,6 W;417 km;27587 km/h
2025-10-14 15:02:42;14,0 N;55,8 W;417 km;27587 km/h
2025-10-14 15:03:27;16,2 N;54,1 W;417 km;27588 km/h
2025-10-14 15:04:12;18,4 N;52,3 W;417 km;27588 km/h
2025-10-14 15:04:57;20,6 N;50,5 W;418 km;27589 km/h
2025-10-14 15:05:42;22,8 N;48,5 W;418 km;27589 km/h
2025-10-14 15:06:27;25,0 N;46,6 W;418 km;27589 km/h
2025-10-14 15:07:13;27,1 N;44,5 W;418 km;27589 km/h
2025-10-14 15:07:58;29,2 N;42,4 W;419 km;27590 km/h
2025-10-14 15:08:43;31,2 N;40,2 W;419 km;27590 km/h
2025-10-14 15:09:28;33,2 N;37,8 W;419 km;27590 km/h
2025-10-14 15:10:13;35,1 N;35,4 W;420 km;27590 km/h
2025-10-14 15:10:58;37,0 N;32,8 W;420 km;27589 km/h
2025-10-14 15:11:43;38,8 N;30,1 W;421 km;27589 km/h
2025-10-14 15:12:28;40,5 N;27,2 W;421 km;27589 km/h
2025-10-14 15:13:13;42,2 N;24,2 W;421 km;27589 km/h
2025-10-14 15:13:58;43,7 N;21,0 W;422 km;27589 km/h
2025-10-14 15:14:43;45,2 N;17,7 W;422 km;27589 km/h
2025-10-14 15:15:29;46,5 N;14,2 W;422 km;27589 km/h
2025-10-14 15:16:14;47,7 N;10,5 W;423 km;27588 km/h
2025-10-14 15:16:59;48,8 N;6,6 W;423 km;27588 km/h
2025-10-14 15:17:44;49,7 N;2,5 W;423 km;27588 km/h
2025-10-14 15:18:29;50,5 N;1,5 E;423 km;27588 km/h
2025-10-14 15:19:14;51,0 N;5,9 E;423 km;27588 km/h
2025-10-14 15:19:59;51,5 N;10,3 E;423 km;27588 km/h
2025-10-14 15:20:44;51,7 N;14,7 E;424 km;27588 km/h
2025-10-14 15:21:29;51,7 N;19,2 E;424 km;27588 km/h
